NumWords,312835
NumTerms,1498

terms,allen-p,arnold-j,arora-h,badeer-r,bailey-s,bass-e,baughman-d,beck-s,benson-r,blair-l,brawner-s,buy-r,campbell-l,carson-m,cash-m,causholli-m,corman-s,crandell-s,cuilla-m,dasovich-j,davis-d,dean-c,delainey-d,derrick-j,donoho-l,donohoe-t,dorland-c,ermis-f,farmer-d,fischer-m,forney-j,gang-l,gay-r,geaccone-t,germany-c,gilbertsmith-d,giron-d,griffith-j,grigsby-m,haedicke-m,hayslett-r,heard-m,hendrickson-s,hernandez-j,hodge-j,holst-k,horton-s,hyatt-k,jones-t,kaminski-v,kean-s,keavey-p,keiser-k,king-j,kitchen-l,kuykendall-t,lavorato-j,lay-k,lenhart-m,lewis-a,lokay-m,lokey-t,love-p,lucci-p,maggi-m,mann-k,martin-t,may-l,mccarty-d,mcconnell-m,mckay-b,mckay-j,mclaughlin-e,meyers-a,mims-thurston-p,motley-m,neal-s,nemec-g,panus-s,parks-j,pereira-s,perlingiere-d,phanis-s,pimenov-v,platter-p,presto-k,quenet-j,quigley-d,rapp-b,reitmeyer-j,richey-c,ring-a,ring-r,rogers-b,ruscitti-k,sager-e,saibi-e,salisbury-h,sanchez-m,sanders-r,scholtes-d,schoolcraft-d,schwieger-j,scott-s,semperger-c,shackleton-s,shankman-j,shapiro-r,shively-h,skilling-j,slinger-r,smith-m,solberg-g,staab-t,steffes-j,stepenovitch-j,storey-g,sturm-f,swerzbin-m,taylor-m,tholt-j,thomas-p,townsend-j,tycholiz-b,ward-k,watson-k,weldon-c,whalley-g,white-s,whitt-m,williams-j,williams-w3,wolfe-j,ybarbo-p,zipper-a,zufferli-j,TotalNumInDataSet
enron,0,0,4,0,130,26,204,0,0,0,53,0,0,8,149,838,0,0,0,2269,0,5,49,51,27,4,162,0,259,17,50,9,0,228,873,0,40,0,382,10,330,2457,0,0,0,17,0,47,261,0,0,10,0,0,1091,14,0,2471,420,0,17,0,155,20,3,11,37,0,0,51,0,48,21,0,0,0,345,171,24,27,10,299,0,5,8,0,0,0,74,0,25,4,32,8,417,261,4,62,0,200,0,0,124,0,49,146,0,0,333,0,0,24,9,0,550,0,318,0,255,0,35,0,0,0,137,0,0,8,39,32,75,256,13,127,23,13,17870
na,115,49,0,0,72,0,101,679,0,1372,8,291,11,0,0,633,177,0,0,1369,0,0,27,28,25,0,42,0,42,0,0,0,0,157,384,0,0,0,340,0,213,1479,12,37,26,0,0,0,139,192,256,0,0,0,738,0,360,1250,55,0,0,53,124,0,0,0,0,0,0,0,0,0,0,0,21,0,34,0,0,0,0,0,0,0,0,146,0,0,52,0,0,0,0,0,38,0,0,0,54,0,0,329,27,227,36,52,0,0,31,266,0,0,0,0,379,0,17,0,212,111,28,15,0,0,60,0,38,0,26,10,0,136,10,0,0,0,13211
ou,0,0,0,0,72,0,101,586,0,1360,0,260,0,0,0,697,178,0,0,1180,0,0,27,28,25,0,42,0,0,0,0,0,0,157,442,0,14,0,341,0,213,1479,0,29,42,0,0,0,139,0,81,0,0,0,742,0,324,1282,46,0,0,53,120,0,3,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,663,52,0,0,0,61,0,0,0,0,0,50,0,0,328,27,173,36,52,0,0,0,239,0,0,0,0,379,0,0,0,212,98,28,14,0,0,56,0,0,0,26,10,0,136,10,93,0,0,12931
cn,0,50,0,0,0,0,202,1192,0,2733,0,566,0,0,0,0,352,0,0,0,0,0,0,91,50,0,84,0,0,0,0,0,0,0,745,0,14,0,0,0,435,0,0,58,42,0,0,34,0,0,164,0,0,0,0,0,811,0,94,0,0,106,240,0,3,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,662,0,0,0,0,0,0,0,0,0,0,101,0,0,741,58,297,72,104,0,0,0,542,0,0,0,0,832,0,0,0,0,197,0,0,0,0,111,56,23,0,52,20,0,273,20,93,16,0,12577
recipients,0,0,0,0,72,0,101,601,0,1360,0,262,0,0,0,739,176,0,0,1210,0,0,27,40,25,0,42,0,0,0,0,0,0,157,305,0,0,0,340,0,213,1527,0,29,0,0,0,0,139,0,81,0,0,0,740,0,323,1281,45,0,0,53,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,52,0,0,0,0,0,0,0,0,0,50,0,0,328,27,0,36,52,0,0,0,239,0,0,0,0,379,0,0,0,212,98,29,0,0,0,55,0,0,0,26,0,0,137,10,0,0,0,11835
com,0,120,0,0,52,23,0,537,0,529,23,179,41,0,34,77,123,0,0,1100,3,0,7,0,0,6,81,0,30,0,0,0,0,54,473,0,51,0,34,0,81,852,10,124,0,0,0,34,78,569,166,12,0,0,336,8,135,1155,0,5,21,52,84,29,3,24,0,8,0,0,0,0,21,0,0,0,87,42,12,26,0,61,0,6,0,188,0,0,0,0,0,0,30,0,0,263,0,33,106,212,0,140,49,540,0,0,0,0,0,214,8,0,12,0,0,0,10,0,81,52,0,57,0,0,197,0,111,0,0,0,0,60,0,60,0,0,10041
thanks,27,36,0,2,0,16,15,204,0,915,9,72,12,0,169,90,76,0,0,324,5,0,6,16,50,0,0,4,41,12,176,14,3,44,225,8,49,19,129,24,0,282,0,10,23,0,44,40,38,269,51,0,56,2,80,10,0,0,0,0,33,13,204,0,5,67,48,8,15,18,3,34,23,0,67,0,37,74,0,40,29,129,2,0,9,198,0,0,40,9,24,3,0,14,13,119,10,38,0,38,15,76,42,114,37,176,6,0,0,38,18,71,6,44,277,10,12,63,0,54,0,25,2,74,346,583,66,0,110,17,14,248,20,42,55,0,7722
ect,221,172,0,0,0,0,0,715,30,0,0,133,33,9,61,0,0,64,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,437,0,18,0,0,0,0,0,84,12,154,0,50,0,0,965,0,10,0,0,0,0,619,0,110,11,0,0,0,0,0,0,40,17,0,0,0,0,0,0,58,0,0,75,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,313,0,0,33,159,0,0,0,1052,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,88,0,0,0,0,53,0,222,0,0,0,94,0,0,0,0,0,6684
know,50,38,4,3,7,42,0,189,0,206,17,47,25,0,69,42,72,0,23,276,8,8,6,17,54,6,72,0,60,16,83,18,0,29,275,4,41,19,57,10,25,223,11,14,0,5,32,0,0,139,62,0,81,0,77,0,57,0,76,0,0,8,109,21,0,25,45,7,27,29,2,40,0,5,71,8,27,131,0,48,15,55,0,7,9,61,0,0,17,17,40,9,14,14,22,50,6,35,39,42,11,73,43,300,33,79,8,0,9,26,6,52,0,41,145,0,10,21,0,69,16,34,4,46,306,145,36,0,83,32,15,111,15,0,47,13,5579
please,78,58,0,0,6,0,17,164,0,251,7,35,10,0,113,0,109,0,0,0,0,0,7,118,37,6,0,0,51,10,73,10,1,30,128,0,26,7,106,10,20,204,0,10,19,8,33,35,54,341,77,0,59,0,150,0,81,0,0,3,0,8,114,16,0,20,17,10,0,13,2,52,0,4,59,0,40,191,16,16,0,233,0,7,7,204,0,0,22,0,0,5,0,0,11,82,0,67,0,76,14,67,43,0,38,165,7,0,16,35,10,43,8,13,242,9,15,39,0,78,14,25,0,42,135,207,44,0,73,20,21,174,0,33,29,0,5513
